Skin;Bodytype;Hairstyle;Haircolor;Eyes;Clothes;Poses;Locate;Expression;Light Source;Lighting Type;ShotSize;Composition;FocalLength;Camera Angle;LensType;Color;Accessories;Extra1;Extra2;Extra3
;with athletic body;Straight long;auburn;blue and grey;graphic tee and khaki cargo pants;waving hand;in a dining room;cheerful smile, looking to the side, mouth open,;;;;;;;;;;;;
;with elf body;half cornrows ;blond;red and blue;long knit cardigan and basic tank top;saluting;in a home office;beaming smile, looking straight ahead, mouth open,;;;;;;;;;;;;
;with fit body;punk ;black;green and red;white sneakers and stylish track pants;giving a thumbs up;in a child's playroom;playful grin, looking up, lips parted,;;;;;;;;;;;;
;;alt girl;white;green and grey;flannel shirt and faded straight-leg jeans;making a heart shape with hands;in a garden shed;open-mouthed smile, looking straight ahead, mouth open,;;;;;;;;;;;;
;;emo girl;pink;;casual blazer and raw denim jeans;holding hands together politely;in a laundry room;laughing joyfully, looking to the side, mouth open,;;;;;;;;;;;;
;;viking;alt girl;;comfortable sweater dress;kneeling down;in a pantry;neutral expression, looking straight ahead, mouth closed,;;;;;;;;;;;;
;;fashion;;;cotton jumpsuit;curtsying;in a walk-in closet;neutral expression, looking to the side, lips pressed together,;;;;;;;;;;;;
;;Waifu;;;summer romper;tiptoeing;in a private study;calm gaze, looking down, mouth closed,;;;;;;;;;;;;
;;;;;modern tracksuit;sitting cross-legged;in a guest room;serious expression, looking straight ahead, lips pressed together,;;;;;;;;;;;;
;;;;;sports bra and athletic leggings;lying on stomach, propped on elbows;in a workshop at home;focused look, looking to the side, mouth closed,;;;;;;;;;;;;
;;;;;yoga pants and loose top;sitting on a chair backwards;in a small apartment;stoic face, looking up, lips pressed together,;;;;;;;;;;;;
;;;;;silk pajamas;looking up thoughtfully;in a luxury penthouse;pensive look, looking down, mouth slightly open,;;;;;;;;;;;;
;;;;;cotton nightgown;gazing into the distance;in a rustic cabin;seductive smile, looking straight ahead, lips parted,;;;;;;;;;;;;
;;;;;soft bathrobe and slippers;head tilted slightly;in a spacious villa;seductive smile, looking to the side, mouth slightly open,;;;;;;;;;;;;
;;;;;denim overalls and striped shirt;smiling sweetly;in a houseboat;teasing smirk, looking straight ahead, lips parted,;;;;;;;;;;;;
;;;;;leather jacket and black skinny jeans;pouting slightly;in a treehouse;teasing smirk, looking to the side, mouth slightly open,;;;;;;;;;;;;
;;;;;striped sweater and chino pants;giggling;in a hidden bunker;coy smile, looking straight ahead, lips parted,;;;;;;;;;;;;
;;;;;lace top and linen shorts;whispering a secret;in a secret room;coy smile, looking up, mouth slightly open,;;;;;;;;;;;;
;;;;;chambray shirt and skater skirt;shrugging shoulders;in an abandoned house;mischievous grin, looking straight ahead, lips parted,;;;;;;;;;;;;
;;;;;bomber jacket and boyfriend jeans;stretching arms overhead;in a rundown shack;alluring gaze, looking to the side, lips parted,;;;;;;;;;;;;
;;;;;pinafore dress and thin turtleneck;flexing bicep (playfully);in a cozy cottage;angry glare, looking straight ahead, lips pressed together,;;;;;;;;;;;;
;;;;;poncho and bootcut jeans;balancing on one leg;in a modern loft;angry glare, looking to the side, mouth slightly open,;;;;;;;;;;;;
;;;;;faux fur sleeveless vest and thin sweater;looking surprised;in a busy street;frowning, looking straight ahead, lips pressed together,;;;;;;;;;;;;
;;;;;velvet pants and turtleneck sweater;covering mouth with hand;in a quiet alley;frowning, looking down, mouth closed,;;;;;;;;;;;;
;;;;;oversized sweatshirt;rubbing neck awkwardly;on a bustling city square;scowling, looking straight ahead, lips pressed together,;;;;;;;;;;;;
;;;;;boyfriend shirt;scratching head in confusion;on a narrow cobblestone street;intense stare, looking to the side, mouth closed,;;;;;;;;;;;;
;;;;;little black dress ;winking;under a bridge;determined look, looking straight ahead, lips pressed together,;;;;;;;;;;;;
;;;;;white tank top and denim cutoffs;do a peace sign with one hand;on a pedestrian bridge;sad eyes, looking down, mouth closed,;;;;;;;;;;;;
;;;;;striped t-shirt and culottes;peace sign with both hands;in a bustling market;sad eyes, looking straight ahead, lips pressed together,;;;;;;;;;;;;
;;;;;kimono jacket and jeans;tongue out playfully;in a serene park;teary-eyed, looking down, mouth slightly open,;;;;;;;;;;;;
;;;;;utility jumpsuit;bunny ears with fingers;in a botanical garden;about to cry, looking straight ahead, lips trembling,;;;;;;;;;;;;
;;;;;cashmere sweater and tailored pants;finger hearts;in a public library;melancholic look, looking to the side, lips pressed together,;;;;;;;;;;;;
;;;;;varsity jacket and pleated skirt;paws up pose (cat-like);in a grand museum;longing gaze, looking up, lips parted,;;;;;;;;;;;;
;;;;;crewneck sweater and midi skirt;hiding face behind hands;in an art gallery;wide-eyed surprise, looking straight ahead, mouth open,;;;;;;;;;;;;
;;;;;denim vest and sundress;peeking with one eye;in a movie theater;gasping, looking to the side, mouth open,;;;;;;;;;;;;
;;;;;loose knit top and linen trousers;sitting with knees tucked to chest;in a concert hall;mouth slightly open, looking straight ahead, eyes wide,;;;;;;;;;;;;
;;;;;graphic hoodie and cycling shorts;holding a giant plushie;in an opera house;shocked expression, looking down, mouth open,;;;;;;;;;;;;
;;;;;corduroy jacket and straight-leg pants;leaning head on shoulder (cute);in a nightclub;astonished look, looking straight ahead, mouth open,;;;;;;;;;;;;
;;;;;striped long-sleeve top and wide-leg jeans;making a silly face;in a quaint cafe;;;;;;;;;;;;;
;;;;;oversized cardigan and slip dress;sticking out tongue and winking;in a fine dining restaurant;;;;;;;;;;;;;
;;;;;formal outfit;clapping hands enthusiastically;in a local bar;;;;;;;;;;;;;
;;;;;long satin evening gown;jumping with joy;in a bustling pub;;;;;;;;;;;;;
;;;;;classic black cocktail dress;skipping happily;in a busy train station;;;;;;;;;;;;;
;;;;;voluminous ball gown;twirling around;in a sprawling airport;;;;;;;;;;;;;
;;;;;elegant tuxedo dress;eyes sparkling with excitement;in a bustling port;;;;;;;;;;;;;
;;;;;tailored pantsuit;pouting with puffed cheeks;on a quiet dock;;;;;;;;;;;;;
;;;;;chic pencil skirt suit;hugging self;in a dense forest;;;;;;;;;;;;;
;;;;;fitted midi dress;shaking head no (cute);on a mountain peak;;;;;;;;;;;;;
;;;;;leather pencil skirt and silk blouse;nodding yes (cute);by the ocean;;;;;;;;;;;;;
;;;;;high-waisted dress pants and flowing top;pointing finger upward (cute);on a sandy beach;;;;;;;;;;;;;
;;;;;velvet slit dress;covering mouth with hands, giggling;in a vast desert;;;;;;;;;;;;;
;;;;;refined lace dress;holding a small flower delicately;in a lush jungle;;;;;;;;;;;;;
;;;;;silk slip dress and blazer;sitting on the floor, legs crossed, hands in lap;in a dark cave;;;;;;;;;;;;;
;;;;;long strapless dress;standing with hands in pockets, intense gaze;in an ancient castle;;;;;;;;;;;;;
;;;;;one-shoulder asymmetric dress;arms crossed, piercing stare;in a grand cathedral;;;;;;;;;;;;;
;;;;;form-fitting mermaid dress;fist clenched, ready for action;in a historic mosque;;;;;;;;;;;;;
;;;;;structured A-line dress;dynamic leaping pose;in a serene temple;;;;;;;;;;;;;
;;;;;elegant empire waist dress;crouching low, ready to spring;on a remote island;;;;;;;;;;;;;
;;;;;silk wrap dress;delivering a powerful kick;in a peaceful village;;;;;;;;;;;;;
;;;;;peplum top and cigarette pants;throwing a punch;in a bustling city center;;;;;;;;;;;;;
;;;;;palazzo pants and embroidered blouse;dodging an attack;in an old town district;;;;;;;;;;;;;
;;;;;wide-leg crepe jumpsuit;mid-air spin kick;in a bustling Chinatown;;;;;;;;;;;;;
;;;;;halter neck backless dress;back to viewer, looking over shoulder menacingly;in a futuristic metropolis;;;;;;;;;;;;;
;;;;;long slit skirt and sequin embellished top;standing on a rooftop, wind blowing hair;in a quiet suburban street;;;;;;;;;;;;;
;;;;;black tie gown;looking down at viewer, dominant stance;in an industrial zone;;;;;;;;;;;;;
;;;;;white tie ball gown;walking away from an explosion;in a construction site;;;;;;;;;;;;;
;;;;;glamorous red carpet gown;leaning forward, intense focus;in a derelict building;;;;;;;;;;;;;
;;;;;sophisticated gala dress;knee bent, hand on thigh, staring forward;in a high-tech laboratory;;;;;;;;;;;;;
;;;;;majestic opera dress;hand reaching out, beckoning;in a military base;;;;;;;;;;;;;
;;;;;feminine cocktail suit;snapping fingers powerfully;in a police station;;;;;;;;;;;;;
;;;;;tuxedo jacket and evening trousers;standing in a battle-ready stance;in a fire station;;;;;;;;;;;;;
;;;;;sleeveless sheath dress;glowing eyes, power emanating;in a hospital ward;;;;;;;;;;;;;
;;;;;long skirt and lace crop top ensemble;smirking confidently;in a doctor's office;;;;;;;;;;;;;
;;;;;sequined sheath dress;hair blowing wildly in action;in a pharmacy;;;;;;;;;;;;;
;;;;;flared suit pants and button-up shirt;dust kicking up from feet;in a classroom;;;;;;;;;;;;;
;;;;;long blazer and straight suit pants;one foot elevated, dynamic balance;in a university campus;;;;;;;;;;;;;
;;;;;draped chiffon dress;hands balled into fists, at sides;in a courthouse;;;;;;;;;;;;;
;;;;;tweed skirt and jacket set;squinting eyes, focused;in a prison cell;;;;;;;;;;;;;
;;;;;classic red dress;turning quickly, hair flying;in a busy factory;;;;;;;;;;;;;
;;;;;velvet tuxedo jacket and black silk trousers;arms spread wide, embracing power;in a quiet office cubicle;;;;;;;;;;;;;
;;;;;brocade midi dress;standing tall, unyielding;in a skyscraper lobby;;;;;;;;;;;;;
;;;;;structured cape dress;gloved fist hitting palm;on a sports field;;;;;;;;;;;;;
;;;;;jewel-toned velvet gown;cracking knuckles;on a basketball court;;;;;;;;;;;;;
;;;;;pleated chiffon gown;shoulders back, chest out, defiant;on a tennis court;;;;;;;;;;;;;
;;;;;off-the-shoulder formal top and tailored skirt;mid-sprint, determined expression;on a golf course;;;;;;;;;;;;;
;;;;;embellished maxi dress;leaning provocatively;on an ice rink;;;;;;;;;;;;;
;;;;;asymmetric hem formal dress;hand tracing jawline;on a ski slope;;;;;;;;;;;;;
;;;;;satin wide-leg jumpsuit;fingers brushing lips lightly;on a racetrack;;;;;;;;;;;;;
;;;;;fitted brocade blazer and matching skirt;biting lower lip;on a theatrical stage;;;;;;;;;;;;;
;;;;;feather-trimmed dress;arching back slightly;in a recording studio;;;;;;;;;;;;;
;;;;;iridescent gown;hip popped out;in a film set;;;;;;;;;;;;;
;;;;;couture pantsuit;one leg bent, foot resting on other leg;in a TV studio;;;;;;;;;;;;;
;;;;;mermaid tail skirt and sequin top;seductively looking over shoulder;in a photography studio;;;;;;;;;;;;;
;;;;;business professional outfit;loosening clothing suggestively;in an artist's studio;;;;;;;;;;;;;
;;;;;classic pantsuit matching blazer and pants;wet look, hair plastered to skin;in a design workshop;;;;;;;;;;;;;
;;;;;classic skirt suit matching blazer and skirt;revealing cleavage with pose;in a fashion studio;;;;;;;;;;;;;
;;;;;professional sheath dress;sitting with legs crossed, showing thigh;in a pottery studio;;;;;;;;;;;;;
;;;;;white blouse and black suit pants;reclining on a sofa, looking at viewer;in a glassblowing studio;;;;;;;;;;;;;
;;;;;pencil skirt and collared shirt;stretching sensuously;in a blacksmith's forge;;;;;;;;;;;;;
;;;;;structured blazer and cigarette pants;hair draped over one shoulder;in a bakery;;;;;;;;;;;;;
;;;;;thin cardigan and midi dress;glancing sideways with allure;in a butcher shop;;;;;;;;;;;;;
;;;;;silk shirt and pleated midi skirt;hand on chest, drawing attention;in a fish market;;;;;;;;;;;;;
;;;;;three-piece suit ;fingers tangled in hair, messy look;in a cheese shop;;;;;;;;;;;;;
;;;;;wide-leg pants and crepe blouse;kneeling on one knee, gazing up;in a flower shop;;;;;;;;;;;;;
;;;;;blazer dress;standing in a sheer outfit;in a bookstore;;;;;;;;;;;;;
;;;;;dress pants and thin cashmere sweater;parted lips, alluring expression;in a toy store;;;;;;;;;;;;;
;;;;;power suit bold colored pantsuit;playing with a strand of hair;in an antique shop;;;;;;;;;;;;;
;;;;;crisp white button-down shirt and tailored trousers;sitting on the edge of a bed, looking back;in a pawn shop;;;;;;;;;;;;;
;;;;;pinstripe suit;striking a pin-up pose;in a tattoo parlor;;;;;;;;;;;;;
;;;;;silk blouse and high-waisted wide-leg pants;wet clothes clinging to body;in a barber shop;;;;;;;;;;;;;
;;;;;knitted midi dress and blazer;glittering skin, suggestive lighting;in a hair salon;;;;;;;;;;;;;
;;;;;trench coat over business attire;licking lips subtly;in a nail salon;;;;;;;;;;;;;
;;;;;structured tweed blazer and matching skirt;slowly taking off a jacket;in a spa resort;;;;;;;;;;;;;
;;;;;peplum blazer and straight skirt;looking directly into the camera with intense gaze;in a sauna;;;;;;;;;;;;;
;;;;;sleeveless shell top and tailored pants;hand resting on inner thigh;in a steam room;;;;;;;;;;;;;
;;;;;sporty active outfit;back arched, looking back at viewer;in a hot spring;;;;;;;;;;;;;
;;;;;sports leggings and sports bra;kneeling, looking up with big eyes;in a vineyard;;;;;;;;;;;;;
;;;;;running shorts and technical tank top;wet skin shimmering;in a brewery;;;;;;;;;;;;;
;;;;;yoga set, leggings and fitted top;Sitting cross-legged, hands on knees, eyes closed;in a distillery;;;;;;;;;;;;;
;;;;;windbreaker and track pants;Lying on back, arms extended, looking at the clouds;in a chocolate factory;;;;;;;;;;;;;
;;;;;cycling shorts and bike jersey;Admiring the scenery, hands clasped behind back;in a candy store;;;;;;;;;;;;;
;;;;;hiking pants and softshell jacket;Reading a book quietly, sitting under a tree;in a circus tent;;;;;;;;;;;;;
;;;;;tennis outfit, skirt and polo shirt;Meditating, hands in a mudra;in an amusement park ride;;;;;;;;;;;;;
;;;;;one-piece swimsuit;Eyes full of tears, face lowered;on a Ferris wheel;;;;;;;;;;;;;
;;;;;two-piece bikini;Bursting out laughing, head thrown back;on a roller coaster;;;;;;;;;;;;;
;;;;;diving suit;Shouting with joy, arms raised;in a haunted house attraction;;;;;;;;;;;;;
;;;;;athletic crop top and high-waisted leggings;Looking curiously, head slightly tilted;in a funfair;;;;;;;;;;;;;
;;;;;track jacket and matching joggers;Pensive, chin resting on hand;in a carnival ground;;;;;;;;;;;;;
;;;;;tennis dress;Mid-jump, one knee raised;in a parade route;;;;;;;;;;;;;
;;;;;golf polo and shorts;Running at full speed, hair in the wind;in a protest march;;;;;;;;;;;;;
;;;;;surf wetsuit;Engaged in a dance, arms in motion;in a bustling marketplace;;;;;;;;;;;;;
;;;;;rash guard and board shorts;Hitting an object with force;in a farmers market;;;;;;;;;;;;;
;;;;;basketball jersey and shorts ;Stretching after effort, muscles tensed;in a flea market;;;;;;;;;;;;;
;;;;;gym shorts and oversized t-shirt;Playing a musical instrument;in a Christmas market;;;;;;;;;;;;;
;;;;;yoga shorts and supportive bra top;Holding a paintbrush, in front of a canvas;in a festive street;;;;;;;;;;;;;
;;;;;boho hippie outfit;Sculpting a piece of clay;in a ceremonial hall;;;;;;;;;;;;;
;;;;;long flowy ethnic print dress;Taking a photo with a camera;in a wedding venue;;;;;;;;;;;;;
;;;;;long loose embroidered cotton skirt;Writing in a notebook;in a funeral home;;;;;;;;;;;;;
;;;;;tunic ample and jean flare;Holding a steaming cup of coffee;in a quiet cemetery;;;;;;;;;;;;;
;;;;;crochet top and frayed denim shorts;With an umbrella in the rain;in a busy dockyard;;;;;;;;;;;;;
;;;;;fringed suede vest;Wearing an elegant hat;in a dry dock;;;;;;;;;;;;;
;;;;;geometric print palazzo pants;With sunglasses, looking into the distance;in a lighthouse;;;;;;;;;;;;;
;;;;;embroidered peasant dress;Holding a delicate flower;on a cliff edge;;;;;;;;;;;;;
;;;;;billowy bell-sleeve blouse;stretching one arm out, reaching;by a majestic waterfall;;;;;;;;;;;;;
;;;;;maxi kaftan dress;crossing legs elegantly;in a deep canyon;;;;;;;;;;;;;
;;;;;bell-sleeve top and flared jeans;sitting on floor, leaning back on hands;in a wide valley;;;;;;;;;;;;;
;;;;;patchwork skirt and simple camisole;standing with hands on hips, head slightly tilted;on a vast plain;;;;;;;;;;;;;
;;;;;tie-dye t-shirt and denim cutoffs;looking back over shoulder, a playful smirk;on a rolling hill;;;;;;;;;;;;;
;;;;;embroidered denim jacket;mid-laugh, head tilted back;in an isolated archipelago;;;;;;;;;;;;;
;;;;;suede fringe jacket;sitting on a swing, looking down;by a calm lake;;;;;;;;;;;;;
;;;;;kimono robe as outerwear;standing in a doorway, silhouetted;along a winding river;;;;;;;;;;;;;
;;;;;layered necklaces and flowing dress;kneeling, holding something small;in a boundless ocean;;;;;;;;;;;;;
;;;;;floral crown and white lace dress;jumping over a puddle;in a vast swamp;;;;;;;;;;;;;
;;;;;vintage retro outfit;tiptoeing to reach something;in a frozen tundra;;;;;;;;;;;;;
;;;;;1950s dress, cinched waist, full skirt;balancing a book on head;in a hot savanna;;;;;;;;;;;;;
;;;;;1920s flapper dress;shaking hands with someone (implied or actual);on a wide steppe;;;;;;;;;;;;;
;;;;;1940s suit, long skirt and fitted jacket;giving a high-five (implied or actual);in a green prairie;;;;;;;;;;;;;
;;;;;1970s bell-bottoms and wide-collar shirt;pointing at something in the distance;in a cultivated field;;;;;;;;;;;;;
;;;;;1980s oversized denim jacket and flashy leggings;holding a prop (e.g., umbrella, hat, flower);in an apple orchard;;;;;;;;;;;;;
;;;;;1960s babydoll dress;leaning on a counter/bar;in a dense bamboo forest;;;;;;;;;;;;;
;;;;;1950s pencil skirt and pin-up sweater;sitting on a bench, looking thoughtfully;in a misty bamboo grove;;;;;;;;;;;;;
;;;;;1940s shorts and jacket set;standing with arms behind back;in a vibrant coral reef;;;;;;;;;;;;;
;;;;;rockabilly dress;looking up at the sky, serene expression;on a desolate volcanic island;;;;;;;;;;;;;
;;;;;poodle skirt and cardigan;looking down at hands, concentrated;in an active volcano's crater;;;;;;;;;;;;;
;;;;;mod-style mini dress;adjusting glasses;on a shimmering glacier;;;;;;;;;;;;;
;;;;;disco jumpsuit;looking through a window;in a deep ice cave;;;;;;;;;;;;;
;;;;;flared jeans and peasant blouse;gazing at a reflection;on a snowy mountain pass;;;;;;;;;;;;;
;;;;;pin-up swimwear;dancing lightly, eyes closed;in a vast icy plain;;;;;;;;;;;;;
;;;;;swing dress;twisting body, looking back;in a bustling ski resort;;;;;;;;;;;;;
;;;;;zoot suit ;shuffling feet nervously;on a snowy peak;;;;;;;;;;;;;
;;;;;victory rolls hairstyle and coordinated outfit;clapping hands softly;in an alpine meadow;;;;;;;;;;;;;
;;;;;gloves and hat from the 1920s;hugging a pet (implied or actual);in a thick fog;;;;;;;;;;;;;
;;;;;bouffant hair and shift dress from the 1960s;leaning head on a shoulder (implied or actual);under a starry night sky;;;;;;;;;;;;;
;;;;;big shoulder pads and bright colored blazer from the 1980s;lying on side, propped on hand;under a vibrant aurora borealis;;;;;;;;;;;;;
;;;;;abaya;sitting on steps, relaxed;in a desert oasis;;;;;;;;;;;;;
;;;;;apron;standing under an archway;in a barren wasteland;;;;;;;;;;;;;
;;;;;armor;looking over a balcony;in a verdant swamp;;;;;;;;;;;;;
;;;;;armored dress;stretching a leg out, pointing toe;in a sun-drenched savannah;;;;;;;;;;;;;
;;;;;athleisure;sitting on a tree branch;in a dark, stormy sky;;;;;;;;;;;;;
;;;;;backless dress;walking barefoot;under a gentle rainfall;;;;;;;;;;;;;
;;;;;band uniform;running fingers through hair;during a heavy snowstorm;;;;;;;;;;;;;
;;;;;baseball jersey;blowing a bubble;in a swirling sandstorm;;;;;;;;;;;;;
;;;;;bathing suit;winking playfully;in a misty morning;;;;;;;;;;;;;
;;;;;bathrobe;sticking tongue out slightly;at dawn;;;;;;;;;;;;;
;;;;;bell bottoms;making a goofy face;at dusk;;;;;;;;;;;;;
;;;;;beret;holding hands to mouth, surprised;under a full moon;;;;;;;;;;;;;
;;;;;bermuda shorts;shrugging with a questioning look;under a new moon;;;;;;;;;;;;;
;;;;;bike shorts;stretching arms to the side, open posture;during a solar eclipse;;;;;;;;;;;;;
;;;;;bikesuit;flexing a leg muscle playfully;during a lunar eclipse;;;;;;;;;;;;;
;;;;;bikini;doing a subtle dance move;in the heart of a hurricane;;;;;;;;;;;;;
;;;;;bikini armor;looking perplexed, scratching chin;in the eye of a tornado;;;;;;;;;;;;;
;;;;;blazer;covering one eye playfully;on a calm, moonlit night;;;;;;;;;;;;;
;;;;;bloomers;peeking from behind a curtain;under a bright midday sun;;;;;;;;;;;;;
;;;;;blouse;sitting with a lap cat;in a dimly lit cellar;;;;;;;;;;;;;
;;;;;body stocking;holding a cup with both hands;in a brightly lit showroom;;;;;;;;;;;;;
;;;;;bodystocking;leaning cheek on hand, daydreaming;in a dimly lit attic;;;;;;;;;;;;;
;;;;;bodysuit;making a peace sign with both hands;in a sun-filled conservatory;;;;;;;;;;;;;
;;;;;bomber jacket;finger guns;in a bustling train compartment;;;;;;;;;;;;;
;;;;;boots;paws up, looking up adorably;in a crowded bus stop;;;;;;;;;;;;;
;;;;;boubou;hiding face, peeking through fingers;on a busy highway;;;;;;;;;;;;;
;;;;;boxer shorts;sitting with knees to chest, head down;on a serene country road;;;;;;;;;;;;;
;;;;;boyshorts;holding a book, absorbed;in a dense urban jungle;;;;;;;;;;;;;
;;;;;bra;arms folded, contemplating;in a sprawling shantytown;;;;;;;;;;;;;
;;;;;braces;fist under chin, thinking;in a meticulously organized server room;;;;;;;;;;;;;
;;;;;bubble skirt;crouching slightly, intense gaze;in a chaotic data center;;;;;;;;;;;;;
;;;;;budget sarashi;delivering a light tap;in a sterile operating room;;;;;;;;;;;;;
;;;;;buruma;dodging an imaginary object;in a crowded emergency room;;;;;;;;;;;;;
;;;;;business suit;mid-air twirl;in a serene meditation garden;;;;;;;;;;;;;
;;;;;bustier;back to viewer, looking at a view;in a bustling zen temple;;;;;;;;;;;;;
;;;;;caftan;standing on a cliff edge, wind in hair;in a quiet tea house;;;;;;;;;;;;;
;;;;;camisole;holding a shield;in a lively karaoke bar;;;;;;;;;;;;;
;;;;;cape;looking directly at viewer, challenging;in a traditional Japanese inn ;;;;;;;;;;;;;
;;;;;capes;walking towards camera, determined;in a bustling ramen shop;;;;;;;;;;;;;
;;;;;cardigan;leaning against a pillar, observing;in a peaceful onsen ;;;;;;;;;;;;;
;;;;;cargo shorts;one knee on ground, hand on other knee;in a traditional dojo;;;;;;;;;;;;;
;;;;;casuals;hand extended, offering something;in a bustling arcade;;;;;;;;;;;;;
;;;;;cat suit;snapping fingers to get attention;in a grand palace;;;;;;;;;;;;;
;;;;;chador;standing in a ready stance, focused;in a royal garden;;;;;;;;;;;;;
;;;;;chanchanko;eyes gleaming, slight smirk;in a medieval town square;;;;;;;;;;;;;
;;;;;changpao;hair gently swaying;in a futuristic city plaza;;;;;;;;;;;;;
;;;;;chaps;dust lightly settling;on a space station;;;;;;;;;;;;;
;;;;;chausses;one foot raised, preparing to step;on a moon colony;;;;;;;;;;;;;
;;;;;cheerleader outfit;hands loosely clenched at sides;inside a giant robot;;;;;;;;;;;;;
;;;;;chest sarashi;eyes narrowed, assessing;on an alien planet surface;;;;;;;;;;;;;
;;;;;china dress;turning slowly, hair flowing;inside a fantasy dungeon;;;;;;;;;;;;;
;;;;;china dress ;arms open wide, welcoming;in a magical forest clearing;;;;;;;;;;;;;
;;;;;chinese clothes;standing firm, grounded;in a dragon's lair;;;;;;;;;;;;;
;;;;;coat;gloved hand adjusting glove;in a wizard's tower;;;;;;;;;;;;;
;;;;;cocktail dress;cracking neck;in a haunted mansion;;;;;;;;;;;;;
;;;;;competition swimsuit;shoulders relaxed, casual;in a mystical ancient ruin;;;;;;;;;;;;;
;;;;;corset;mid-stride, purposeful expression;in a lost city;;;;;;;;;;;;;
;;;;;cowboy outfit;leaning forward slightly, inviting;in a pirate ship;;;;;;;;;;;;;
;;;;;criss-cross halter;fingers tracing collarbone;on a Viking longship;;;;;;;;;;;;;
;;;;;croptop;lightly touching earlobe;in a Roman coliseum;;;;;;;;;;;;;
;;;;;culottes;biting upper lip;in an Egyptian pyramid;;;;;;;;;;;;;
;;;;;denim jacket;arching back, stretching;in a Greek temple ruin;;;;;;;;;;;;;
;;;;;denim shorts;hip tilted, relaxed;in a Mayan temple;;;;;;;;;;;;;
;;;;;dirndl;one leg crossed over other, relaxed;in an Aztec city;;;;;;;;;;;;;
;;;;;dolman;looking over shoulder, a soft smile;on the Great Wall of China;;;;;;;;;;;;;
;;;;;dotera;adjusting a scarf;at the Taj Mahal;;;;;;;;;;;;;
;;;;;dress;wet hair dripping;at the Pyramids of Giza;;;;;;;;;;;;;
;;;;;dress flower;revealing collarbone;at Stonehenge;;;;;;;;;;;;;
;;;;;duster;sitting with one leg bent, other extended;at Machu Picchu;;;;;;;;;;;;;
;;;;;fatigues;reclining on grass, looking up;at the Colosseum in Rome;;;;;;;;;;;;;
;;;;;fengguan;stretching arms and legs, languidly;at the Acropolis in Athens;;;;;;;;;;;;;
;;;;;flannel shirt;hair swept to one side, sensual;at the Parthenon;;;;;;;;;;;;;
;;;;;flower trim;glancing upwards with desire;at the Christ the Redeemer statue;;;;;;;;;;;;;
;;;;;football jersey;hand on neck, vulnerable;at the Statue of Liberty;;;;;;;;;;;;;
;;;;;frills;fingers loosely holding hair;at Big Ben;;;;;;;;;;;;;
;;;;;frock;kneeling, looking down shyly;at the London Eye;;;;;;;;;;;;;
